url,label
https://www.google.com,benign
https://www.microsoft.com,benign
https://www.github.com,benign
https://www.python.org,benign
https://www.wikipedia.org,benign
https://www.amazon.com,benign
https://www.apple.com,benign
https://www.linkedin.com,benign
https://www.youtube.com,benign
https://www.microsoft.com/en-us/windows,benign
http://secure-login-example.com,phishing
http://verify-account-example.com,phishing
http://account-security-example.com,phishing
http://update-payment-example.com,phishing
http://login-verification-example.com,phishing
http://bank-security-example.com,phishing
http://free-prize-example.com,phishing
http://password-reset-example.com,phishing
http://urgent-account-example.com,phishing
http://confirm-identity-example.com,phishing
